Date,Lieu,Ville,Type,Prix,Artiste,Image
19 nov. 2022 au 8 janv. 2023,LE CHAPITO,LILLE,CIRQUE - CIRQUE CONTEMPORAIN,15.0,LE CIRQUE DE NOEL,https://static.ticketmaster.fr/static/images/vignettes/a_539061.gif
16 dec. 2022 au 29 janv. 2023,CHAPITEAU ARLETTE GRUSS,BORDEAUX,CIRQUE - CIRQUE TRADITIONNEL,17.0,CIRQUE ARLETTE GRUSS,https://static.ticketmaster.fr/static/images/vignettes/n_cirque-arlette-gruss.gif
19 nov. 2022 au 15 janv. 2023,CIRQUE PHENIX,PARIS,CIRQUE - CIRQUE TRADITIONNEL,15.0,CIRQUE PHENIX- LE CIRQUE PHENIX - RHAPSODIE,https://static.ticketmaster.fr/static/images/vignettes/a_529760.gif
26 dec. 2022 au 2 janv. 2023,CHAPITEAU MEDRANO,NANTES,CIRQUE - CIRQUE TRADITIONNEL,21.0,GRAND CIRQUE MEDRANO,https://static.ticketmaster.fr/static/images/vignettes/a_540513.gif
1 dec. 2022 au 14 janv. 2023,LE 13EME ART,PARIS,CIRQUE - CIRQUE CONTEMPORAIN,23.0,CIRQUE LEROUX,https://static.ticketmaster.fr/static/images/vignettes/a_525768.gif
2 fevr. 2023,ZENITH NANTES METROPOLE,ST HERBLAIN,CIRQUE - CIRQUE TRADITIONNEL,36.0,LE CIRQUE PHENIX - RHAPSODIE,https://static.ticketmaster.fr/static/images/vignettes/n_le-cirque-phenix-rhapsodie.gif
22 oct. 2022 au 5 mars 2023,CIRQUE D'HIVER BOUGLIONE,PARIS,CIRQUE - CIRQUE TRADITIONNEL,22.0,"""CIRQUE DHIVER BOUGLIONE""",https://static.ticketmaster.fr/static/images/vignettes/a_537654.gif
10 fevr. 2023,ZENITH D'AUVERGNE,COURNON D AUVERGNE,CIRQUE - CIRQUE TRADITIONNEL,31.0,CIRQUE PHENIX,https://static.ticketmaster.fr/static/images/vignettes/n_le-cirque-phenix-rhapsodie.gif
5 au 19 mars 2023,CHAPITEAU ARLETTE GRUSS,LILLE,CIRQUE - CIRQUE EQUESTRE,17.0,CIRQUE ARLETTE GRUSS,https://static.ticketmaster.fr/static/images/vignettes/n_cirque-arlette-gruss.gif
10 au 19 fevr. 2023,CHAPITEAU ARLETTE GRUSS,ROUEN,CIRQUE - CIRQUE EQUESTRE,17.0,CIRQUE ARLETTE GRUSS,https://static.ticketmaster.fr/static/images/vignettes/n_cirque-arlette-gruss.gif
14 au 16 avr. 2023,CHAPITEAU ARLETTE GRUSS,THIONVILLE,CIRQUE - CIRQUE EQUESTRE,17.0,CIRQUE ARLETTE GRUSS,https://static.ticketmaster.fr/static/images/vignettes/n_cirque-arlette-gruss.gif
27 janv. 2023,LE CEPAC SILO,MARSEILLE,CIRQUE - CIRQUE TRADITIONNEL,31.0,LE CIRQUE PHENIX - RHAPSODIE,https://static.ticketmaster.fr/static/images/vignettes/a_528152.gif
25 fevr. au 1 mars 2023,CHAPITEAU ARLETTE GRUSS,ARRAS,CIRQUE - CIRQUE EQUESTRE,17.0,CIRQUE ARLETTE GRUSS,https://static.ticketmaster.fr/static/images/vignettes/n_cirque-arlette-gruss.gif
25 dec. 2022 au 29 janv. 2023,PELOUSE DE REUILLY,PARIS,CIRQUE - CIRQUE TRADITIONNEL,17.0,CIRQUE MONDIAL,https://static.ticketmaster.fr/static/images/vignettes/a_538126.gif
3 au 5 fevr. 2023,CHAPITEAU ARLETTE GRUSS,LA ROCHELLE,CIRQUE - CIRQUE TRADITIONNEL,17.0,CIRQUE ARLETTE GRUSS,https://static.ticketmaster.fr/static/images/vignettes/n_cirque-arlette-gruss.gif
8 fevr. 2023,HALLE TONY GARNIER,LYON,CIRQUE - CIRQUE TRADITIONNEL,31.0,CIRQUE PHENIX,https://static.ticketmaster.fr/static/images/vignettes/n_le-cirque-phenix-rhapsodie.gif
21 janv. 2023,AINTEREXPO,BOURG EN BRESSE,CIRQUE - CIRQUE CONTEMPORAIN,31.0,LE CIRQUE PHENIX - RHAPSODIE,https://static.ticketmaster.fr/static/images/vignettes/n_le-cirque-phenix-rhapsodie.gif
3 fevr. 2023,LE LIBERTE,RENNES,CIRQUE - CIRQUE TRADITIONNEL,31.0,CIRQUE PHENIX- LE CIRQUE PHENIX - RHAPSODIE,https://static.ticketmaster.fr/static/images/vignettes/n_le-cirque-phenix-rhapsodie.gif
20 au 26 fevr. 2023,CHAPITEAU MEDRANO,NANCY,CIRQUE - CIRQUE TRADITIONNEL,21.0,GRAND CIRQUE MEDRANO,https://static.ticketmaster.fr/static/images/vignettes/n_oceania.gif
5 au 14 mai 2023,CHAPITEAU ARLETTE GRUSS,MULHOUSE,CIRQUE - CIRQUE TRADITIONNEL,17.0,CIRQUE ARLETTE GRUSS,https://static.ticketmaster.fr/static/images/vignettes/n_cirque-arlette-gruss.gif
1 oct. 2022 au 18 nov. 2023,COMPAGNIE ALEXIS GRUSS,PARIS,CIRQUE - CIRQUE EQUESTRE,20.0,CIRQUE ALEXIS GRUSS,https://static.ticketmaster.fr/static/images/vignettes/a_534422.gif
26 au 29 janv. 2023,VILLAGE CHAPITEAUX,MARSEILLE,CIRQUE - CIRQUE CONTEMPORAIN,14.0,BIENNALE INTERNATIONALE DES ARTS DU CIRQUE,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
28 janv. 2023,THEATRE PIERRE CRAVEY,LA TESTE DE BUCH,CIRQUE - CIRQUE CONTEMPORAIN,12.0,LES FRERES COLLE,https://static.ticketmaster.fr/static/images/vignettes/a_530369.gif
3 dec. 2022 au 2 janv. 2023,CHAPITEAU MEDRANO,MARSEILLE,CIRQUE - CIRQUE TRADITIONNEL,24.2,GRAND CIRQUE MEDRANO,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
7 au 20 janv. 2023,CHAPITEAU ARLETTE GRUSS,BORDEAUX,CIRQUE - CIRQUE TRADITIONNEL,36.0,CIRQUE ARLETTE GRUSS,https://static.ticketmaster.fr/static/images/vignettes/a_530727.gif
20 au 28 janv. 2023,VILLAGE CHAPITEAUX,MARSEILLE,CIRQUE - CIRQUE CONTEMPORAIN,14.0,BIENNALE INTERNATIONALE DES ARTS DU CIRQUE,https://static.ticketmaster.fr/static/images/vignettes/a_539086.gif
20 au 29 janv. 2023,VILLAGE CHAPITEAUX,MARSEILLE,CIRQUE - CIRQUE CONTEMPORAIN,15.0,BIENNALE INTERNATIONALE DES ARTS DU CIRQUE,https://static.ticketmaster.fr/static/images/vignettes/a_538865.gif
22 janv. 2023,SUMMUM,GRENOBLE,CIRQUE - CIRQUE TRADITIONNEL,31.0,CIRQUE PHENIX,https://static.ticketmaster.fr/static/images/vignettes/n_le-cirque-phenix-rhapsodie.gif
26 janv. au 19 fevr. 2023,Espace Chapiteaux du Parc de la Villette,PARIS,CIRQUE - CIRQUE CONTEMPORAIN,12.0,CENTRE NATIONAL DES ARTS DU CIRQUE,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
28 janv. 2023,ZENITH SUD MONTPELLIER,MONTPELLIER,CIRQUE - CIRQUE CONTEMPORAIN,31.0,LE CIRQUE PHENIX - RHAPSODIE,https://static.ticketmaster.fr/static/images/vignettes/a_527657.gif
11 fevr. 2023,ZENITH,ST ETIENNE,CIRQUE - CIRQUE CONTEMPORAIN,31.0,LE CIRQUE PHENIX - RHAPSODIE,https://static.ticketmaster.fr/static/images/vignettes/n_le-cirque-phenix-rhapsodie.gif
24 au 26 mars 2023,CHAPITEAU ARLETTE GRUSS,BOULOGNE SUR MER CEDEX,CIRQUE - CIRQUE EQUESTRE,17.0,CIRQUE ARLETTE GRUSS,https://static.ticketmaster.fr/static/images/vignettes/n_cirque-arlette-gruss.gif
21 dec. 2022 au 1 janv. 2023,CHAPITEAU MEDRANO,NICE,CIRQUE - CIRQUE SUR GLACE,24.2,GRAND CIRQUE MEDRANO,https://static.ticketmaster.fr/static/images/vignettes/a_538862.gif
25 janv. 2020 au 6 août 2023,CIRQUE BORMANN MORENO,PARIS,CIRQUE - CIRQUE TRADITIONNEL,12.0,CIRQUE BORMANN MORENO,https://static.ticketmaster.fr/static/images/vignettes/a_484817.gif
5 nov. 2022 au 26 fevr. 2023,CHAPITEAU ROMANES,PARIS,CIRQUE - CIRQUE CONTEMPORAIN,17.0,CIRQUE ROMANES,https://static.ticketmaster.fr/static/images/vignettes/a_538116.gif
