Date,Lieu,Ville,Type,Prix,Artiste,Image
25 dec. 2022 au 1 janv. 2023,EGLISE SAINT LOUIS EN L'ILE,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,22.0,"""NOEL DUKRAINE ENSEMBLE MUSIKIYA""- LES MUSICALES DE DECEMBRE",https://static.ticketmaster.fr/static/images/vignettes/s_143.gif
24 juin 2023,THEATRE ANTIQUE,VIENNE,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,45.0,SOFIANE PAMART,https://static.ticketmaster.fr/static/images/vignettes/a_538818.gif
2 nov. 2022 au 29 janv. 2023,BOBINO,PARIS,CLASSIQUE ET OPERA - OPERA,27.0,THE OPERA LOCOS,https://static.ticketmaster.fr/static/images/vignettes/a_522528.gif
23 au 30 dec. 2022,EGLISE SAINT-PAUL-SAINT-LOUIS,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,33.0,VIVALDI : LES 4 SAISONS- CANON DE PACHELBEL- VE MARIA ET CHANTS DE NOEL,https://static.ticketmaster.fr/static/images/vignettes/a_540751.gif
1 au 26 janv. 2023,Eglise de la Madeleine,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,33.0,VIVALDI LES QUATRE SAISONS- ORCHESTRE LES VIOLONS DE FRANCE- CECILE BESNARD,https://static.ticketmaster.fr/static/images/vignettes/n_les-quatre-saisons-de-vivaldi.gif
31 dec. 2022,Eglise de la Madeleine,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,33.0,LE BOLERO DE RAVEL- ORCHESTRE HELIOS- LA 9EME SYMPHONIE - BEETHOVEN- CHOEUR TEMPESTUOSO,https://static.ticketmaster.fr/static/images/vignettes/a_540121.gif
5 fevr. au 30 dec. 2022,Eglise de la Madeleine,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,33.0,LE REQUIEM DE MOZART- CHOEUR AMADEUS DE PARIS- ORCHESTRE JEAN LOUIS PETIT,https://static.ticketmaster.fr/static/images/vignettes/s_121.gif
31 dec. 2022,EGLISE SAINT GERMAIN DES PRES,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,44.0,"GRAND CONCERT DU NOUVEL AN- LES 4 SAISONS DE VIVALDI- ORCHESTRE CLASSIK ENSEMBLE- DAVID BRACCINI- FABIENNE CONRAD- VE MARIA DE CACCINI & SCHUBERT- ""LES GRANDS AIRS DOPERA CELEBRES""",https://static.ticketmaster.fr/static/images/vignettes/s_125.gif
25 dec. 2022 au 5 fevr. 2023,EGLISE SAINT-EPHREM,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,25.3,VIOLON ET PIANO- CONCERT AUX CHANDELLES,https://static.ticketmaster.fr/static/images/vignettes/s_149.gif
9 mars 2023,ZENITH DE NANCY,MAXEVILLE,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,42.0,LE LAC DES CYGNES- BALLET ET ORCHESTRE,https://static.ticketmaster.fr/static/images/vignettes/a_525161.gif
17 dec. 2022 au 7 janv. 2023,EGLISE SAINT GERMAIN DES PRES,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,44.0,VIVALDI- RICHARD STRAUSS- Orchestre Les Solistes Français- PAUL ROUGER- ORCHESTRE CLASSIK ENSEMBLE- DAVID BRACCINI- VE MARIA DE CACCINI & SCHUBERT,https://static.ticketmaster.fr/static/images/vignettes/s_125.gif
30 dec. 2022,EGLISE SAINT LOUIS EN L'ILE,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,44.0,LES QUATRE SASIONS DE VIVALDI- RICHARD STRAUSS- Orchestre Les Solistes Français- PAUL ROUGER- VE MARIA DE CACCINI & SCHUBERT,https://static.ticketmaster.fr/static/images/vignettes/s_143.gif
31 dec. 2022,Eglise Saint Severin,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,44.0,CONCERT DU NOUVEL AN,https://static.ticketmaster.fr/static/images/vignettes/s_3062.gif
29 janv. 2023,THEATRE MUNICIPAL JEAN ALARY,CARCASSONNE,CLASSIQUE ET OPERA - OPERETTE,28.0,LA ROUTE FLEURIE,https://static.ticketmaster.fr/static/images/vignettes/a_529220.gif
31 dec. 2022,THEATRE JEAN VILAR,ST QUENTIN,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,17.0,TRE VOCE,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
1 au 21 janv. 2023,EGLISE SAINT-EPHREM,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,25.3,CHOPIN AUX CHANDELLES- ELIO DI TANNA- CONCERT AUX CHANDELLES- PASCAL MANTIN,https://static.ticketmaster.fr/static/images/vignettes/s_149.gif
13 au 19 janv. 2023,EGLISE SAINT-EPHREM,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,25.3,CHOPIN SATIE BEETHOVEN- CONCERT AUX CHANDELLES,https://static.ticketmaster.fr/static/images/vignettes/s_149.gif
15 janv. 2023,GRAND KURSAAL,BESANCON,CLASSIQUE ET OPERA - OPERETTE,9.0,LA ROUTE FLEURIE,https://static.ticketmaster.fr/static/images/vignettes/a_538950.gif
17 janv. au 4 fevr. 2023,OPERA BASTILLE,PARIS,CLASSIQUE ET OPERA - OPERA,129.0,TRISTAN ET ISOLDE,https://static.ticketmaster.fr/static/images/vignettes/a_526063.gif
21 janv. au 17 fevr. 2023,OPERA BASTILLE,PARIS,CLASSIQUE ET OPERA - OPERA,114.5,LE TROUVERE,https://static.ticketmaster.fr/static/images/vignettes/a_526051.gif
27 au 31 janv. 2023,Opera de Toulon,TOULON,CLASSIQUE ET OPERA - OPERA,11.0,COSI FAN TUTTE,https://static.ticketmaster.fr/static/images/vignettes/a_533147.gif
14 mai 2023,OPERA ROYAL,VERSAILLES,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,45.1,LULLY : ARMIDE,https://static.ticketmaster.fr/static/images/vignettes/a_537120.gif
24 nov. 2022 au 1 janv. 2023,Eglise St Julien le Pauvre,PARIS,CLASSIQUE ET OPERA - RECITAL,18.0,PIANO PASSION.,https://static.ticketmaster.fr/static/images/vignettes/a_539747.gif
17 au 19 mars 2023,ZENITH D'ORLEANS,ORLEANS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,21.0,TOSCA- GIACOMO PUCCINI,https://static.ticketmaster.fr/static/images/vignettes/a_536282.gif
2 juin 2021 au 30 dec. 2022,EGLISE SAINT-EPHREM,PARIS,CLASSIQUE ET OPERA - MUSIQUE CLASSIQUE,25.3,BACH LES SUITES POUR VIOLONCELLE- BACH- CONCERT AUX CHANDELLES- TIMOTHEE MARCEL- THIBAUT RESZICEK- CYPRIEN KEISER- YANIS BOUDRIS- THEOPHILE DUGUE,https://static.ticketmaster.fr/static/images/vignettes/s_149.gif
