Date,Lieu,Ville,Type,Prix,Artiste,Image
28 avr. 2023,ACCOR ARENA,PARIS,CONCERT - VARIETE INTERNATIONALE,39.0,IBIZA EXPERIENCE,https://static.ticketmaster.fr/static/images/vignettes/n_ibiza-experience.gif
1 au 3 juin 2023,ACCOR ARENA,PARIS,CONCERT - VARIETE ET CHANSON FRANCAISE,35.0,-M-,https://static.ticketmaster.fr/static/images/vignettes/n_-m.gif
2 dec. 2023,PARIS LA DEFENSE ARENA,NANTERRE,CONCERT - POP ROCK FOLK,39.0,STROMAE,https://static.ticketmaster.fr/static/images/vignettes/n_stromae.gif
18 au 19 juin 2023,ZENITH PARIS,PARIS,CONCERT - POP ROCK FOLK,60.5,THE BLACK KEYS- SPOON,https://static.ticketmaster.fr/static/images/vignettes/a_541999.gif
24 au 25 juin 2023,STADE PIERRE MAUROY,VILLENEUVE D ASCQ,CONCERT - RAP HIP-HOP SLAM,40.0,SOPRANO,https://static.ticketmaster.fr/static/images/vignettes/n_soprano.gif
13 oct. 2023,STADE PIERRE MAUROY,VILLENEUVE D ASCQ,CONCERT - POP ROCK FOLK,49.0,STROMAE,https://static.ticketmaster.fr/static/images/vignettes/n_stromae.gif
20 mai 2023,PARIS LA DEFENSE ARENA,NANTERRE,CONCERT - VARIETE INTERNATIONALE,63.0,BURNA BOY,https://static.ticketmaster.fr/static/images/vignettes/n_burna-boy.gif
28 mars au 5 dec. 2023,ACCOR ARENA,PARIS,CONCERT - RAP HIP-HOP SLAM,40.0,LOMEPAL,https://static.ticketmaster.fr/static/images/vignettes/n_lomepal.gif
11 juil. 2023,GROUPAMA STADIUM,DECINES CHARPIEU,CONCERT - POP ROCK FOLK,79.0,RED HOT CHILI PEPPERS,https://static.ticketmaster.fr/static/images/vignettes/n_red-hot-chili-peppers.gif
6 juin 2023,ACCOR ARENA,PARIS,CONCERT - POP ROCK FOLK,49.9,BRING ME THE HORIZON,https://static.ticketmaster.fr/static/images/vignettes/a_540795.gif
8 dec. 2022 au 31 janv. 2023,ACCOR ARENA,PARIS,CONCERT - VARIETE ET CHANSON FRANCAISE,39.5,CLARA LUCIANI,https://static.ticketmaster.fr/static/images/vignettes/a_515689.gif
23 au 25 juin 2023,ACCOR ARENA,PARIS,CONCERT - MUSIQUE DE FILMS,79.5,HANS ZIMMER,https://static.ticketmaster.fr/static/images/vignettes/a_528858.gif
23 juin 2023,PARIS LA DEFENSE ARENA,NANTERRE,CONCERT - POP ROCK FOLK,57.5,THE WHO,https://static.ticketmaster.fr/static/images/vignettes/a_542590.gif
3 au 4 oct. 2023,ZENITH NANTES METROPOLE,ST HERBLAIN,CONCERT - POP ROCK FOLK,49.0,STROMAE,https://static.ticketmaster.fr/static/images/vignettes/n_stromae.gif
9 sept. 2023,ACCOR ARENA,PARIS,CONCERT - POP ROCK FOLK,45.5,LOUISE ATTAQUE,https://static.ticketmaster.fr/static/images/vignettes/a_538859.gif
18 juin 2023,PARC DU CHATEAU DE FONTAINEBLEAU,FONTAINEBLEAU,CONCERT - POP ROCK FOLK,89.5,FBLO FESTIVAL- STING,https://static.ticketmaster.fr/static/images/vignettes/a_542938.gif
15 juil. 2023,ORANGE VELODROME,MARSEILLE,CONCERT - POP ROCK FOLK,62.5,MUSE,https://static.ticketmaster.fr/static/images/vignettes/n_muse.gif
22 au 23 mai 2023,ZENITH ARENA LILLE,LILLE,CONCERT - VARIETE ET CHANSON FRANCAISE,35.0,-M-,https://static.ticketmaster.fr/static/images/vignettes/n_-m.gif
15 au 16 nov. 2023,ARKEA ARENA,FLOIRAC,CONCERT - POP ROCK FOLK,49.0,STROMAE,https://static.ticketmaster.fr/static/images/vignettes/n_stromae.gif
6 sept. 2023,ZENITH ARENA LILLE,LILLE,CONCERT - VARIETE ET CHANSON FRANCAISE,41.8,LOUISE ATTAQUE,https://static.ticketmaster.fr/static/images/vignettes/n_louise-attaque.gif
19 nov. 2023,ARENA D'ORLEANS,ORLEANS,CONCERT - RAP HIP-HOP SLAM,38.0,SOPRANO,https://static.ticketmaster.fr/static/images/vignettes/n_soprano.gif
