Date,Lieu,Ville,Type,Prix,Artiste,Image
27 dec. 2022 au 8 janv. 2023,PALAIS DES CONGRES DE PARIS,PARIS,DANSE - DANSE CLASSIQUE,44.0,CASSE NOISETTE- BALLET ET ORCHESTRE,https://static.ticketmaster.fr/static/images/vignettes/a_518066.gif
13 au 15 janv. 2023,PALAIS DES CONGRES DE PARIS,PARIS,DANSE - DANSE CLASSIQUE,48.0,LES 4 SAISONS DE VIVALDI- BALLET OPERA DE ROME,https://static.ticketmaster.fr/static/images/vignettes/a_515673.gif
9 avr. 2023,AMPHITEA,ANGERS,DANSE - DANSE TRADITIONNELLE,42.0,CELTIC LEGENDS,https://static.ticketmaster.fr/static/images/vignettes/a_485743.gif
22 au 23 avr. 2023,LE CORUM-OPERA BERLIOZ,MONTPELLIER,DANSE - DANSE CLASSIQUE,26.0,LE LAC DES CYGNES- BALLET ET ORCHESTRE,https://static.ticketmaster.fr/static/images/vignettes/a_522736.gif
10 mai 2023,PALAIS NIKAIA  DE NICE,NICE,DANSE - DANSE CLASSIQUE,42.0,LE LAC DES CYGNES- BALLET ET ORCHESTRE,https://static.ticketmaster.fr/static/images/vignettes/a_524567.gif
17 au 19 mars 2023,L'OLYMPIA,PARIS,DANSE - DANSE TRADITIONNELLE,43.0,CELTIC LEGENDS,https://static.ticketmaster.fr/static/images/vignettes/a_486645.gif
16 au 19 mars 2023,Dome de Paris,PARIS,DANSE - DANSE TRADITIONNELLE,35.0,IRISH CELTIC,https://static.ticketmaster.fr/static/images/vignettes/n_irish-celtic-le-chemin-des-legendes.gif
16 au 21 avr. 2023,LE CORUM-OPERA BERLIOZ,MONTPELLIER,DANSE - DANSE TRADITIONNELLE,69.0,SHEN YUN,https://static.ticketmaster.fr/static/images/vignettes/n_shen-yun.gif
12 oct. 2022 au 8 janv. 2023,LE THEATRE LIBRE,PARIS,DANSE - DANSE HIP-HOP,25.0,LIGHTS IN THE DARK,https://static.ticketmaster.fr/static/images/vignettes/a_531977.gif
26 au 31 dec. 2022,SALLE PLEYEL,PARIS,DANSE - FLAMENCO,40.0,SARA BARAS,https://static.ticketmaster.fr/static/images/vignettes/a_519770.gif
22 janv. 2023,ZENITH ARENA LILLE,LILLE,DANSE - DANSE CLASSIQUE,42.0,CARMINA BURANA- ORCHESTRE- CHOEURS ET BALLET,https://static.ticketmaster.fr/static/images/vignettes/n_carmina-burana.gif
5 mars au 16 avr. 2023,ZENITH ARENA LILLE,LILLE,DANSE - DANSE CLASSIQUE,42.0,LE LAC DES CYGNES- BALLET ET ORCHESTRE,https://static.ticketmaster.fr/static/images/vignettes/a_522288.gif
