Date,Lieu,Ville,Type,Prix,Artiste,Image
14 janv. 2023,PALAIS DE L'EUROPE,MENTON,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,54.0,GAD ELMALEH,https://static.ticketmaster.fr/static/images/vignettes/a_543250.gif
27 au 30 juin 2023,Dome de Paris,PARIS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,32.0,REDOUANE BOUGHERABA,https://static.ticketmaster.fr/static/images/vignettes/a_541210.gif
15 mars 2023,ZENITH TOULOUSE METROPOLE,TOULOUSE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,28.0,REDOUANE BOUGHERABA,https://static.ticketmaster.fr/static/images/vignettes/n_redouane-bougheraba.gif
31 mars 2023,LES ARENES DE METZ,METZ,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,28.0,REDOUANE BOUGHERABA,https://static.ticketmaster.fr/static/images/vignettes/n_redouane-bougheraba.gif
1 avr. 2023,ARENA STADE COUVERT,LIEVIN,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,29.0,REDOUANE BOUGHERABA,https://static.ticketmaster.fr/static/images/vignettes/n_redouane-bougheraba.gif
23 au 24 mars 2023,HALLE TONY GARNIER,LYON,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,28.0,REDOUANE BOUGHERABA,https://static.ticketmaster.fr/static/images/vignettes/n_redouane-bougheraba.gif
31 dec. 2022,BOURSE DU TRAVAIL,LYON,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,37.5,CECILE GIROUD- YANN STOTZ,https://static.ticketmaster.fr/static/images/vignettes/a_538991.gif
28 mars au 1 avr. 2023,Dome de Paris,PARIS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,30.0,LBAN IVANOV,https://static.ticketmaster.fr/static/images/vignettes/n_alban-ivanov.gif
13 avr. 2023,PARC EXPO DE TOURS,TOURS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,36.0,INES REG,https://static.ticketmaster.fr/static/images/vignettes/n_ines-reg.gif
14 janv. 2023,ZENITH ARENA LILLE,LILLE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,32.0,PIERRE EMMANUEL BARRE,https://static.ticketmaster.fr/static/images/vignettes/n_pierre-emmanuel-barre.gif
25 janv. 2024,ZENITH ARENA LILLE,LILLE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,39.0,LBAN IVANOV,https://static.ticketmaster.fr/static/images/vignettes/n_alban-ivanov.gif
12 janv. 2023,ZENITH D'AUVERGNE,COURNON D AUVERGNE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,39.0,LBAN IVANOV,https://static.ticketmaster.fr/static/images/vignettes/n_alban-ivanov.gif
28 au 29 avr. 2023,ZENITH NANTES METROPOLE,ST HERBLAIN,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,45.0,"""LES BODINS""",https://static.ticketmaster.fr/static/images/vignettes/n_les-bodin-s-grandeur-nature.gif
23 mars 2024,ARENA LOIRE,TRELAZE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,39.0,LBAN IVANOV,https://static.ticketmaster.fr/static/images/vignettes/n_alban-ivanov.gif
11 janv. au 18 fevr. 2023,THEATRE DEJAZET,PARIS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,22.0,MARC ANTOINE LE BRET,https://static.ticketmaster.fr/static/images/vignettes/n_marc-antoine-le-bret.gif
14 mars 2023,SUD DE FRANCE ARENA,PEROLS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,28.0,REDOUANE BOUGHERABA,https://static.ticketmaster.fr/static/images/vignettes/a_528244.gif
18 janv. 2024,ZENITH NANTES METROPOLE,ST HERBLAIN,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,39.0,LBAN IVANOV,https://static.ticketmaster.fr/static/images/vignettes/n_alban-ivanov.gif
18 janv. 2023,ZENITH TOULOUSE METROPOLE,TOULOUSE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,32.0,PIERRE EMMANUEL BARRE,https://static.ticketmaster.fr/static/images/vignettes/n_pierre-emmanuel-barre.gif
30 mars 2023,ZENITH EUROPE STRASBOURG,ECKBOLSHEIM,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,28.0,REDOUANE BOUGHERABA,https://static.ticketmaster.fr/static/images/vignettes/n_redouane-bougheraba.gif
13 janv. 2024,ARENA FUTUROSCOPE,CHASSENEUIL DU POITOU,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,39.0,LBAN IVANOV,https://static.ticketmaster.fr/static/images/vignettes/n_alban-ivanov.gif
13 mars 2024,ZENITH TOULOUSE METROPOLE,TOULOUSE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,39.0,LBAN IVANOV,https://static.ticketmaster.fr/static/images/vignettes/n_alban-ivanov.gif
27 juin 2023,CASINO,TOULOUSE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,34.0,RAGNAR LE BRETON,https://static.ticketmaster.fr/static/images/vignettes/n_ragnar-le-breton.gif
24 janv. 2023,ZENITH TOULOUSE METROPOLE,TOULOUSE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,25.0,KYAN KHOJANDI,https://static.ticketmaster.fr/static/images/vignettes/a_517969.gif
13 mars 2023,ARKEA ARENA,FLOIRAC,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,28.2,REDOUANE BOUGHERABA,https://static.ticketmaster.fr/static/images/vignettes/n_redouane-bougheraba.gif
26 mars 2023,ZENITH NANTES METROPOLE,ST HERBLAIN,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,28.0,REDOUANE BOUGHERABA,https://static.ticketmaster.fr/static/images/vignettes/n_redouane-bougheraba.gif
12 avr. 2023,ZENITH NANTES METROPOLE,ST HERBLAIN,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,39.0,INES REG,https://static.ticketmaster.fr/static/images/vignettes/n_ines-reg.gif
17 janv. 2023,ZENITH ARENA LILLE,LILLE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,25.0,KYAN KHOJANDI,https://static.ticketmaster.fr/static/images/vignettes/n_kyan-khojandi.gif
19 janv. 2023,ZENITH DE PAU,PAU,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,35.0,REDOUANE BOUGHERABA,https://static.ticketmaster.fr/static/images/vignettes/n_redouane-bougheraba.gif
3 au 4 mars 2023,ZENITH TOULOUSE METROPOLE,TOULOUSE,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,35.0,"""LES BODINS""",https://static.ticketmaster.fr/static/images/vignettes/n_les-bodin-s-grandeur-nature.gif
22 mars 2023,CASINO D'ARRAS,ARRAS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,20.0,"""MARIE SINFILTRE""",https://static.ticketmaster.fr/static/images/vignettes/n_marie-s-infiltre.gif
3 au 4 nov. 2023,ARKEA ARENA,FLOIRAC,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,25.2,MAXIME GASTEUIL,https://static.ticketmaster.fr/static/images/vignettes/n_maxime-gasteuil.gif
28 janv. 2023,ARKEA ARENA,FLOIRAC,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,25.0,KYAN KHOJANDI,https://static.ticketmaster.fr/static/images/vignettes/n_kyan-khojandi.gif
7 mars 2023,LE CEPAC SILO,MARSEILLE,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,34.0,BOODER,https://static.ticketmaster.fr/static/images/vignettes/n_booder-is-back.gif
8 avr. 2023,Dome de Paris,PARIS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,29.0,"""DJAL""",https://static.ticketmaster.fr/static/images/vignettes/n_d-jal.gif
14 au 16 avr. 2023,ARKEA ARENA,FLOIRAC,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,36.2,"""LES BODINS""",https://static.ticketmaster.fr/static/images/vignettes/n_les-bodin-s-grandeur-nature.gif
27 janv. 2024,GALAXIE,AMNEVILLE LES THERMES,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,35.0,LBAN IVANOV,https://static.ticketmaster.fr/static/images/vignettes/n_alban-ivanov.gif
29 sept. 2022 au 14 fevr. 2023,THEATRE DE LA TOUR EIFFEL,PARIS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,19.0,CHRISTELLE CHOLLET,https://static.ticketmaster.fr/static/images/vignettes/a_520030.gif
12 janv. 2023,REIMS ARENA,REIMS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,36.0,INES REG,https://static.ticketmaster.fr/static/images/vignettes/n_ines-reg.gif
1 oct. 2023,LE SPLENDID,ST QUENTIN,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,38.0,REDOUANE BOUGHERABA,https://static.ticketmaster.fr/static/images/vignettes/n_redouane-bougheraba.gif
29 dec. 2022 au 7 janv. 2023,LES FOLIES BERGERE,PARIS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,23.0,FABRICE EBOUE,https://static.ticketmaster.fr/static/images/vignettes/n_fabrice-eboue.gif
22 mars 2023,PALAIS NIKAIA  DE NICE,NICE,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,28.0,REDOUANE BOUGHERABA,https://static.ticketmaster.fr/static/images/vignettes/a_528260.gif
25 mars 2023,ARENA FUTUROSCOPE,CHASSENEUIL DU POITOU,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,28.0,REDOUANE BOUGHERABA,https://static.ticketmaster.fr/static/images/vignettes/n_redouane-bougheraba.gif
17 au 19 avr. 2023,Dome de Paris,PARIS,HUMOUR ET ONE (WO)MAN SHOW - ONE (WO)MAN SHOW,39.0,KEV ADAMS,https://static.ticketmaster.fr/static/images/vignettes/n_kev-adams.gif
20 avr. 2023,AUDITORIUM 800,NANTES,HUMOUR ET ONE (WO)MAN SHOW - HUMOUR,37.0,LES HOMMES VIENNENT DE MARS ET LES FEMMES DE VENUS,https://static.ticketmaster.fr/static/images/vignettes/a_537414.gif
