Date,Lieu,Ville,Type,Prix,Artiste,Image
29 au 30 avr. 2023,PARC DES EXPOSITIONS,DIJON,SALON - SALON LOISIRS,14.0,KAMO CON- KAMO PLAY,https://static.ticketmaster.fr/static/images/vignettes/a_543358.gif
29 au 30 avr. 2023,PARC DES EXPOSITIONS,DIJON,SALON - SALON LOISIRS,8.0,KAMO CON- KAMO PLAY,https://static.ticketmaster.fr/static/images/vignettes/a_543353.gif
25 fevr. au 5 mars 2023,PARIS EXPO PORTE DE VERSAILLES,PARIS,SALON - SALON AGRICOLE,9.0,"""SALON INTERNATIONAL DE LAGRICULTURE""",https://static.ticketmaster.fr/static/images/vignettes/a_540330.gif
27 au 29 janv. 2023,PARIS EXPO,PARIS,SALON - SALON GASTRONOMIE ET CUISINE,12.0,"""SAGASDOM - SALON DE LA GASTRONOMIE DE LOUTRE-MER & DES CUISINES DU MONDE""",https://static.ticketmaster.fr/static/images/vignettes/a_539805.gif
22 avr. 2023,PALAIS NEPTUNE,TOULON,SALON - SALON LOISIRS,6.0,"""MANGAZUR""",https://static.ticketmaster.fr/static/images/vignettes/a_543453.gif
22 au 23 avr. 2023,PALAIS NEPTUNE,TOULON,SALON - SALON LOISIRS,18.0,"""MANGAZUR""",https://static.ticketmaster.fr/static/images/vignettes/a_543433.gif
18 au 22 janv. 2023,PARC DES EXPOSITIONS,AVIGNON,SALON - AUTRES SALONS,13.5,CHEVAL PASSION,https://static.ticketmaster.fr/static/images/vignettes/a_537670.gif
28 janv. 2023,SALLE LEO LAGRANGE,BEAUMONT SUR OISE,SALON - SALON MODE,15.0,ELECTION MISS THELLOISE,https://static.ticketmaster.fr/static/images/vignettes/a_538554.gif
31 janv. au 5 fevr. 2023,PARIS EXPO PORTE DE VERSAILLES,PARIS,SALON - SALON AUTO,125.0,RETROMOBILE,https://static.ticketmaster.fr/static/images/vignettes/a_531580.gif
31 janv. 2023,PARIS EXPO PORTE DE VERSAILLES,PARIS,SALON - SALON AUTO,55.0,RETROMOBILE,https://static.ticketmaster.fr/static/images/vignettes/a_531573.gif
1 au 5 fevr. 2023,PARIS EXPO PORTE DE VERSAILLES,PARIS,SALON - SALON AUTO,22.0,RETROMOBILE,https://static.ticketmaster.fr/static/images/vignettes/a_531558.gif
4 au 5 fevr. 2023,PARC DES EXPOSITIONS,BRUZ CEDEX,SALON - SALON GAMING,22.0,GEEK DAYS,https://static.ticketmaster.fr/static/images/vignettes/a_543713.gif
4 au 5 fevr. 2023,PARC DES EXPOSITIONS,BRUZ CEDEX,SALON - SALON GAMING,12.0,GEEK DAYS,https://static.ticketmaster.fr/static/images/vignettes/a_543712.gif
11 au 12 fevr. 2023,PARC DES EXPOSITIONS,AVIGNON,SALON - SALON LOISIRS,15.0,VIGNON GEEK EXPO,https://static.ticketmaster.fr/static/images/vignettes/ticket.gif
23 fevr. au 26 mars 2023,EUREXPO,CHASSIEU,SALON - SALON MOTO,30.0,SALON DU 2 ROUES,https://static.ticketmaster.fr/static/images/vignettes/a_539130.gif
23 au 26 fevr. 2023,EUREXPO,CHASSIEU,SALON - SALON MOTO,40.0,SALON DU 2 ROUES,https://static.ticketmaster.fr/static/images/vignettes/a_539126.gif
23 au 26 fevr. 2023,EUREXPO,CHASSIEU,SALON - SALON MOTO,15.0,SALON DU 2 ROUES,https://static.ticketmaster.fr/static/images/vignettes/a_539088.gif
24 au 26 fevr. 2023,MARSEILLE CHANOT,MARSEILLE,SALON - SALON LOISIRS,12.0,JAPAN EXPO SUD,https://static.ticketmaster.fr/static/images/vignettes/a_543677.gif
9 au 12 mars 2023,PARIS EXPO PORTE DE VERSAILLES,PARIS,SALON - SALON LOISIRS,8.0,IGUILLE EN FETE,https://static.ticketmaster.fr/static/images/vignettes/a_542383.gif
31 mars au 1 avr. 2023,PARC FLORAL DE PARIS VINCENNES,PARIS,SALON - SALON LOISIRS,5.0,VERSION SCRAP,https://static.ticketmaster.fr/static/images/vignettes/a_543823.gif
15 au 16 avr. 2023,PARIS EXPO PORTE DE VERSAILLES,PARIS,SALON - SALON LOISIRS,15.0,PARIS FAN FESTIVAL,https://static.ticketmaster.fr/static/images/vignettes/s_720.gif
22 avr. 2023,PALAIS NEPTUNE,TOULON,SALON - SALON LOISIRS,10.0,"""MANGAZUR""",https://static.ticketmaster.fr/static/images/vignettes/a_543424.gif
23 avr. 2023,PALAIS NEPTUNE,TOULON,SALON - SALON LOISIRS,10.0,"""MANGAZUR""",https://static.ticketmaster.fr/static/images/vignettes/a_543430.gif
27 avr. au 8 mai 2023,PARIS EXPO PORTE DE VERSAILLES,PARIS,SALON - FOIRE,7.0,FOIRE DE PARIS,https://static.ticketmaster.fr/static/images/vignettes/a_541822.gif
23 au 25 juin 2023,PARC DES EXPOSITIONS PARIS,LE BOURGET,SALON - AUTRES SALONS,12.0,"""SALON INTERNATIONAL DE LAERONAUTIQUE ET DE LESPACE""",https://static.ticketmaster.fr/static/images/vignettes/a_541056.gif
23 au 25 juin 2023,PARC DES EXPOSITIONS PARIS,LE BOURGET,SALON - AUTRES SALONS,17.0,"""SALON INTERNATIONAL DE LAERONAUTIQUE ET DE LESPACE""",https://static.ticketmaster.fr/static/images/vignettes/a_541031.gif
30 juin au 2 juil. 2023,PARC EXPO DE TOURS,TOURS,SALON - SALON LOISIRS,35.0,JAPAN TOURS FESTIVAL,https://static.ticketmaster.fr/static/images/vignettes/a_537770.gif
30 juin au 2 juil. 2023,PARC EXPO DE TOURS,TOURS,SALON - SALON LOISIRS,15.0,JAPAN TOURS FESTIVAL,https://static.ticketmaster.fr/static/images/vignettes/a_537769.gif
13 au 16 juil. 2023,PARC DES EXPOSITIONS PARIS NORD,VILLEPINTE,SALON - SALON LOISIRS,72.0,JAPAN EXPO,https://static.ticketmaster.fr/static/images/vignettes/a_541148.gif
13 au 16 juil. 2023,PARC DES EXPOSITIONS PARIS NORD,VILLEPINTE,SALON - SALON LOISIRS,20.0,JAPAN EXPO,https://static.ticketmaster.fr/static/images/vignettes/a_541120.gif
