Date,Lieu,Ville,Type,Prix,Artiste,Image
11 nov. 2022 au 15 janv. 2023,PARC BORDELAIS,BORDEAUX,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,9.0,"""LODYSSEE LUMINEUSE""",https://static.ticketmaster.fr/static/images/vignettes/a_536825.gif
28 dec. 2022 au 1 janv. 2023,GAYANT EXPO,DOUAI,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,25.0,DISNEY SUR GLACE,https://static.ticketmaster.fr/static/images/vignettes/n_disney-sur-glace-la-grande-aventure.gif
26 dec. 2022 au 1 janv. 2023,La Patinoire,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE SUR GLACE,25.0,FEERIE SUR GLACE,https://static.ticketmaster.fr/static/images/vignettes/a_539416.gif
14 nov. 2023 au 28 janv. 2024,LA SEINE MUSICALE,BOULOGNE BILLANCOURT,SPECTACLE ET COMEDIE MUSICALE - COMEDIE MUSICALE,29.0,STARMANIA,https://static.ticketmaster.fr/static/images/vignettes/a_542442.gif
28 mars au 2 avr. 2023,ARKEA ARENA,FLOIRAC,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,29.0,STARMANIA,https://static.ticketmaster.fr/static/images/vignettes/n_starmania.gif
15 avr. 2023,PALAIS DES SPORTS DE GERLAND,LYON,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,30.0,HARLEM GLOBETROTTERS,https://static.ticketmaster.fr/static/images/vignettes/n_harlem-globetrotters.gif
27 au 30 avr. 2023,SUD DE FRANCE ARENA,PEROLS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,29.0,STARMANIA,https://static.ticketmaster.fr/static/images/vignettes/n_starmania.gif
11 avr. 2023,ZENITH ARENA LILLE,LILLE,SPECTACLE ET COMEDIE MUSICALE - GRAND SPECTACLE,30.0,HARLEM GLOBETROTTERS,https://static.ticketmaster.fr/static/images/vignettes/n_harlem-globetrotters.gif
3 au 12 fevr. 2023,Dome de Paris,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,19.9,HOLIDAY ON ICE,https://static.ticketmaster.fr/static/images/vignettes/n_holiday-on-ice-supernova.gif
26 au 28 mai 2023,ZENITH D'AMIENS,AMIENS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,29.0,STARMANIA,https://static.ticketmaster.fr/static/images/vignettes/n_starmania.gif
31 dec. 2022,PALAIS BEAUMONT,PAU,SPECTACLE ET COMEDIE MUSICALE - COMEDIE MUSICALE,28.0,BORN TO BE DISCO,https://static.ticketmaster.fr/static/images/vignettes/a_538543.gif
3 au 4 janv. 2023,GALAXIE,AMNEVILLE LES THERMES,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,25.0,DISNEY SUR GLACE,https://static.ticketmaster.fr/static/images/vignettes/n_disney-sur-glace-la-grande-aventure.gif
10 au 12 fevr. 2023,ZENITH EUROPE STRASBOURG,ECKBOLSHEIM,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,29.0,STARMANIA,https://static.ticketmaster.fr/static/images/vignettes/n_starmania.gif
8 sept. 2022 au 16 juil. 2023,THEATRE MOGADOR,PARIS,SPECTACLE ET COMEDIE MUSICALE - COMEDIE MUSICALE,26.0,LE ROI LION,https://static.ticketmaster.fr/static/images/vignettes/a_525314.gif
4 nov. 2022 au 29 janv. 2023,LA SEINE MUSICALE,BOULOGNE BILLANCOURT,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE MUSICAL,29.0,STARMANIA,https://static.ticketmaster.fr/static/images/vignettes/a_502265.gif
20 dec. 2022 au 1 janv. 2023,Dome de Paris,PARIS,SPECTACLE ET COMEDIE MUSICALE - SPECTACLE JEUNE PUBLIC,26.5,MIRACULOUS,https://static.ticketmaster.fr/static/images/vignettes/n_miraculous.gif
