Date,Lieu,Ville,Type,Prix,Artiste,Image
20 janv. 2023,Dome de Paris,PARIS,SPORT - MMA (ARTS MARTIAUX MIXTES),29.00,MMA,https://static.ticketmaster.fr/static/images/vignettes/s_2.gif
29 avr. 2023,ACCOR ARENA,PARIS,SPORT - CATCH,40.00,WWE LIVE,https://static.ticketmaster.fr/static/images/vignettes/a_538711.gif
17 fevr. 2023,Dome de Paris,PARIS,SPORT - MMA (ARTS MARTIAUX MIXTES),29.00,MMA,https://static.ticketmaster.fr/static/images/vignettes/s_2.gif
4 au 5 fevr. 2023,ACCOR ARENA,PARIS,SPORT - JUDO,15.00,GRAND SLAM,https://static.ticketmaster.fr/static/images/vignettes/a_535921.gif
21 au 22 avr. 2023,ACCOR ARENA,PARIS,SPORT - BASKET,10.00,COUPE DE FRANCE DE BASKET,https://static.ticketmaster.fr/static/images/vignettes/a_540815.gif
18 au 19 mars 2023,ARENA LOIRE,TRELAZE,SPORT - BASKET,12.00,COUPE DE FRANCE DE BASKET- FEDERATION FRANCAISE DE BASKETBALL,https://static.ticketmaster.fr/static/images/vignettes/a_542182.gif
18 fevr. 2023,ORANGE VELODROME,MARSEILLE,SPORT - RUGBY,7.00,RC TOULON- STADE TOULOUSAIN,https://static.ticketmaster.fr/static/images/vignettes/a_536808.gif
5 avr. 2023,SALLE DE SPORT MICHEL VRIGNAUD,CHALLANS,SPORT - BASKET,30.00,HARLEM GLOBETROTTERS,https://static.ticketmaster.fr/static/images/vignettes/n_harlem-globetrotters.gif
18 au 22 janv. 2023,PARC DES EXPOSITIONS,AVIGNON,SPORT - EQUITATION,28.50,"""LES CRINIERES DOR""",https://static.ticketmaster.fr/static/images/vignettes/a_537671.gif
5 au 12 fevr. 2023,SUD DE FRANCE ARENA,PEROLS,SPORT - TENNIS,7.00,OPEN SUD DE FRANCE,https://static.ticketmaster.fr/static/images/vignettes/a_537323.gif
7 janv. 2023,STADE CHABAN-DELMAS,BORDEAUX,SPORT - RUGBY,7.00,UNION BORDEAUX BEGLES- VIRON BAYONNAIS,https://static.ticketmaster.fr/static/images/vignettes/s_22058.gif
3 avr. 2023,ESPACE MAYENNE,LAVAL,SPORT - BASKET,30.00,HARLEM GLOBETROTTERS,https://static.ticketmaster.fr/static/images/vignettes/n_harlem-globetrotters.gif
22 janv. au 9 avr. 2023,ACCOR ARENA,PARIS,SPORT - BASKET,10.00,PARIS BASKET,https://static.ticketmaster.fr/static/images/vignettes/a_539931.gif
6 janv. 2023,COLISEUM,AMIENS,SPORT - HOCKEY SUR GLACE,9.80,"""GOTHIQUES DAMIENS HOCKEY""- NGLET HORMADI ELITE",https://static.ticketmaster.fr/static/images/vignettes/s_23582.gif
7 au 8 janv. 2023,PARIS LA DEFENSE ARENA,NANTERRE,SPORT - EQUITATION,45.50,"""ECOLE ESPAGNOLE DEQUITATION DE VIENNE""",https://static.ticketmaster.fr/static/images/vignettes/a_524862.gif
29 janv. 2023,ACCOR ARENA,PARIS,SPORT - HOCKEY SUR GLACE,18.00,FINALE DE LA COUPE DE FRANCE DE HOCKEY SUR GLACE- COUPE DE FRANCE DE HOCKEY,https://static.ticketmaster.fr/static/images/vignettes/a_537113.gif
22 janv. 2023,ZENITH PARIS,PARIS,SPORT - MMA (ARTS MARTIAUX MIXTES),29.00,HEXAGONE MMA,https://static.ticketmaster.fr/static/images/vignettes/a_538252.gif
30 dec. 2022,STADE CHABAN-DELMAS,BORDEAUX,SPORT - RUGBY,7.00,UNION BORDEAUX BEGLES- MONTPELLIER HERAULT RUGBY,https://static.ticketmaster.fr/static/images/vignettes/s_22058.gif
31 dec. 2022,STADE AIME GIRAL,PERPIGNAN,SPORT - RUGBY,13.80,US ARLEQUINS PERPIGNANAIS- TLANTIQUE STADE ROCHELAIS,https://static.ticketmaster.fr/static/images/vignettes/s_8066.gif
11 fevr. 2023,ACCOR ARENA,PARIS,SPORT - ATHLETISME,15.00,MEETING DE PARIS,https://static.ticketmaster.fr/static/images/vignettes/a_538658.gif
29 au 30 avr. 2023,CIRCUIT DE NEVERS MAGNY-COURS,MAGNY COURS,SPORT - AUTOMOBILE,14.00,CLASSIC DAYS,https://static.ticketmaster.fr/static/images/vignettes/a_541736.gif
28 mai 2023,SAN SIRO STADIUM,MILANO,SPORT - FOOTBALL,70.00,INTER MILAN,https://static.ticketmaster.fr/static/images/vignettes/s_23706.gif
17 fevr. 2023,COLISEUM,AMIENS,SPORT - HOCKEY SUR GLACE,9.80,"""GOTHIQUES DAMIENS HOCKEY""",https://static.ticketmaster.fr/static/images/vignettes/s_23582.gif
25 mars 2023,ZENITH D'AUVERGNE,COURNON D AUVERGNE,SPORT - MOTO,19.00,BLACKLINER FREESTYLE SHOW 2023,https://static.ticketmaster.fr/static/images/vignettes/a_535973.gif
1 au 2 avr. 2023,SAN SIRO STADIUM,MILANO,SPORT - FOOTBALL,70.00,INTER MILAN,https://static.ticketmaster.fr/static/images/vignettes/s_23706.gif
7 avr. 2023,ARKEA ARENA,FLOIRAC,SPORT - MOTO,18.00,TRIAL INDOOR INTERNATIONAL,https://static.ticketmaster.fr/static/images/vignettes/a_537917.gif
31 janv. 2023,AREN'ICE,CERGY,SPORT - HOCKEY SUR GLACE,12.00,JOKERS DE CERGY PONTOISE- DIABLES ROUGES DE BRIANCON,https://static.ticketmaster.fr/static/images/vignettes/s_21531.gif
