Date,Lieu,Ville,Type,Prix,Artiste,Image
31 dec. 2022,THEATRE SEBASTOPOL,LILLE,THEATRE - COMEDIE,38.0,LE DINER DE CONS,https://static.ticketmaster.fr/static/images/vignettes/n_le-diner-de-cons.gif
31 dec. 2022,THEATRE SEBASTOPOL,LILLE,THEATRE - COMEDIE,22.0,"""DOS VS PARENTS MODE DEMPLOI""",https://static.ticketmaster.fr/static/images/vignettes/a_534600.gif
31 dec. 2022,THEATRE SEBASTOPOL,LILLE,THEATRE - COMEDIE,38.0,LE CLAN DES DIVORCEES,https://static.ticketmaster.fr/static/images/vignettes/n_le-clan-des-divorcees.gif
31 dec. 2022,PALAIS BEAUMONT,PAU,THEATRE - COMEDIE,28.0,"""LAFFAIRE CUTWOOD""",https://static.ticketmaster.fr/static/images/vignettes/a_538540.gif
27 janv. au 23 mars 2023,THEATRE DE LA RENAISSANCE,PARIS,THEATRE - COMEDIE,25.0,FARY,https://static.ticketmaster.fr/static/images/vignettes/a_540202.gif
15 oct. 2022 au 1 juil. 2023,THEATRE LA COMEDIE DE LILLE,LILLE,THEATRE - THEATRE JEUNE PUBLIC,12.0,CENDRILLON,https://static.ticketmaster.fr/static/images/vignettes/a_536322.gif
15 oct. 2022 au 1 juil. 2023,THEATRE LA COMEDIE DE LILLE,LILLE,THEATRE - COMEDIE,17.5,"""DOS VS PARENTS MODE DEMPLOI""",https://static.ticketmaster.fr/static/images/vignettes/a_534980.gif
15 oct. 2022 au 29 avr. 2023,THEATRE LA COMEDIE DE LILLE,LILLE,THEATRE - COMEDIE,24.5,LE COUP DE PELLE,https://static.ticketmaster.fr/static/images/vignettes/a_534973.gif
15 oct. 2022 au 28 avr. 2023,THEATRE LA COMEDIE DE LILLE,LILLE,THEATRE - COMEDIE,24.5,"""FAITES LAMOUR AVEC UN BELGE !""",https://static.ticketmaster.fr/static/images/vignettes/a_534892.gif
12 janv. au 15 avr. 2023,THEATRE EDOUARD VII,PARIS,THEATRE - COMEDIE,10.0,LE JOUR DU KIWI- GERARD JUGNOT- RTHUR JUGNOT- FLORENCE PERNEL- ELSA ROZENKNOP,https://static.ticketmaster.fr/static/images/vignettes/a_538766.gif
